,owner,repo,mrr,recall100,recall500,recall1000,recall2000,recall5000,recall10000,commit_count,cve_count,Unnamed: 11
190,python,typed_ast,0.0358974359,1.0,1.0,1.0,1.0,1.0,1.0,203.0,2,0.3769230769
193,milkytracker,MilkyTracker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,852.0,2,0.3285714286
194,troglobit,uftpd,0.1702898551,0.5,1.0,1.0,1.0,1.0,1.0,552.0,2,0.3166666667
195,yhirose,cpp-peglib,0.3055555556,1.0,1.0,1.0,1.0,1.0,1.0,715.0,2,1.3
196,openzfs,zfs,0.03941176471,1.0,1.0,1.0,1.0,1.0,1.0,8650.0,2,0.2095238095
197,sparklemotion,nokogiri,0.1020080321,0.5,1.0,1.0,1.0,1.0,1.0,6518.0,2,0.8
198,fluent,fluent-bit,0.1014619883,0.5,1.0,1.0,1.0,1.0,1.0,10410.0,2,0.4666666667
201,jsummers,deark,0.2666666667,1.0,1.0,1.0,1.0,1.0,1.0,3590.0,2,0.2046296296
203,michaelforney,samurai,0.1047619048,1.0,1.0,1.0,1.0,1.0,1.0,356.0,2,0.6333333333
204,projectacrn,acrn-hypervisor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8265.0,2,1.3
205,DPDK,dpdk,0.5454545455,1.0,1.0,1.0,1.0,1.0,1.0,40988.0,2,0.3434782609
206,openvswitch,ovs,0.5074626866,1.0,1.0,1.0,1.0,1.0,1.0,20256.0,2,0.4111111111
208,albertodemichelis,squirrel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,199.0,2,1.3
209,PCRE2Project,pcre2,0.1703703704,0.5,1.0,1.0,1.0,1.0,1.0,1959.0,2,0.314084507
210,hpjansson,chafa,0.1068493151,1.0,1.0,1.0,1.0,1.0,1.0,1344.0,2,1.3
216,bratsche,pango,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,2459.0,1,1.3
217,gisle,html-parser,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,1082.0,1,0.2093457944
219,ensc,irssi-proxy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,387.0,1,0.3217391304
220,kr,beanstalkd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,834.0,1,0.425
221,davidben,nspluginwrapper,0.02857142857,1.0,1.0,1.0,1.0,1.0,1.0,201.0,1,0.425
223,reubenhwk,radvd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,929.0,1,0.5
225,dajobe,raptor,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7439.0,1,1.3
226,stefanesser,suhosin,0.1666666667,1.0,1.0,1.0,1.0,1.0,1.0,299.0,1,1.3
227,pediapress,pyfribidi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1,0.0005767012687
228,sipa,bitcoin,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,2985.0,1,0.2093457944
230,android,platform_bionic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27479.0,1,1.3
231,ned14,nedmalloc,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,225.0,1,0.8
232,darold,squidclamav,1.0,1.0,1.0,1.0,1.0,1.0,1.0,170.0,1,1.3
235,libguestfs,libguestfs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12015.0,1,1.3
236,LawnGnome,php-radius,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1,1.3
237,OpenSIPS,opensips,0.01408450704,1.0,1.0,1.0,1.0,1.0,1.0,17865.0,1,1.3
238,SpiderLabs,ModSecurity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3348.0,1,0.4666666667
239,akheron,jansson,0.04347826087,1.0,1.0,1.0,1.0,1.0,1.0,833.0,1,1.3
241,hexchat,hexchat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3382.0,1,0.4111111111
242,dlitz,pycrypto,0.2,1.0,1.0,1.0,1.0,1.0,1.0,931.0,1,0.3769230769
243,jktjkt,trojita,0.08333333333,1.0,1.0,1.0,1.0,1.0,1.0,6593.0,1,0.6333333333
244,cherokee,webserver,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5722.0,1,0.3166666667
248,madler,pigz,0.125,1.0,1.0,1.0,1.0,1.0,1.0,256.0,1,1.3
249,kmatheussen,das_watchdog,0.125,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1,0.3185185185
251,01org,opa-fm,0.2,1.0,1.0,1.0,1.0,1.0,1.0,58.0,1,0.4111111111
253,tillkamppeter,ippusbxd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,356.0,1,0.4
254,stedolan,jq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1661.0,1,1.3
257,SchedMD,slurm,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,58266.0,1,0.337037037
258,Quagga,quagga,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3981.0,1,1.3
259,fragglet,lhasa,0.5,1.0,1.0,1.0,1.0,1.0,1.0,463.0,1,1.3
260,kamailio,kamailio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37649.0,1,1.3
261,jpirko,libndp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.0,1,0.5
262,libimobiledevice,libusbmuxd,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,225.0,1,1.3
263,pornel,pngquant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1162.0,1,1.3
264,mjg59,pupnp-code,1.0,1.0,1.0,1.0,1.0,1.0,1.0,845.0,1,0.6333333333
265,BelledonneCommunications,bzrtp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,313.0,1,1.3
266,unrealircd,unrealircd,0.1666666667,1.0,1.0,1.0,1.0,1.0,1.0,10106.0,1,0.3208333333
267,evilnet,nefarious2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,639.0,1,0.8
268,m6w6,ext-http,0.1111111111,1.0,1.0,1.0,1.0,1.0,1.0,2557.0,1,1.3
269,vslavik,winsparkle,0.1111111111,1.0,1.0,1.0,1.0,1.0,1.0,480.0,1,0.3625
271,GNOME,libgsf,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,1790.0,1,1.3
272,ImpulseAdventure,JPEGsnoop,0.01666666667,1.0,1.0,1.0,1.0,1.0,1.0,89.0,1,0.3434782609
273,blueness,sthttpd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0,1,1.3
274,GNOME,gnome-session,0.03125,1.0,1.0,1.0,1.0,1.0,1.0,6750.0,1,1.3
275,ioquake,ioq3,0.1428571429,1.0,1.0,1.0,1.0,1.0,1.0,3377.0,1,1.3
276,pbatard,rufus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2216.0,1,0.337037037
278,GNOME,nautilus,0.5,1.0,1.0,1.0,1.0,1.0,1.0,25528.0,1,0.55
279,shadowsocks,shadowsocks-libev,0.1111111111,1.0,1.0,1.0,1.0,1.0,1.0,2070.0,1,0.34
280,kohler,gifsicle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,859.0,1,1.3
281,aawc,unrar,0.1,1.0,1.0,1.0,1.0,1.0,1.0,24.0,1,0.3204081633
282,libofx,libofx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,323.0,1,0.8
283,boothj5,profanity,0.25,1.0,1.0,1.0,1.0,1.0,1.0,6511.0,1,1.3
284,GStreamer,gst-plugins-ugly,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,5586.0,1,0.0007733952049
286,iortcw,iortcw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1090.0,1,1.3
287,01org,tpm2.0-tools,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4218.0,1,1.3
288,derf,feh,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1436.0,1,1.3
289,varnishcache,varnish-cache,0.2,1.0,1.0,1.0,1.0,1.0,1.0,19094.0,1,0.35
290,dinhviethoa,libetpan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,645.0,1,1.3
291,resiprocate,resiprocate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10856.0,1,1.3
292,elric1,knc,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,255.0,1,0.8
293,cisco,thor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,226.0,1,0.204
294,fmtlib,fmt,0.02083333333,1.0,1.0,1.0,1.0,1.0,1.0,7209.0,1,0.6333333333
295,fatcerberus,minisphere,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3480.0,1,0.3588235294
296,transmission,transmission,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16043.0,1,0.3909090909
298,AndreRenaud,PDFGen,0.01851851852,1.0,1.0,1.0,1.0,1.0,1.0,356.0,1,0.3416666667
299,randombit,botan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14212.0,1,0.6333333333
301,GNOME,gimp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58998.0,1,1.3
302,glennrp,libpng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4315.0,1,0.3101010101
303,simsong,tcpflow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,689.0,1,0.2037037037
304,swoole,swoole-src,0.03703703704,1.0,1.0,1.0,1.0,1.0,1.0,11103.0,1,1.3
305,xelerance,Openswan,0.09090909091,1.0,1.0,1.0,1.0,1.0,1.0,8153.0,1,0.3285714286
306,shellinabox,shellinabox,0.25,1.0,1.0,1.0,1.0,1.0,1.0,386.0,1,0.55
307,mongodb,mongo-c-driver,0.04,1.0,1.0,1.0,1.0,1.0,1.0,7276.0,1,0.4111111111
308,WAVM,WAVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2319.0,1,1.3
309,liblouis,liblouis,0.02040816327,1.0,1.0,1.0,1.0,1.0,1.0,5674.0,1,1.3
310,coreutils,gnulib,0.5,1.0,1.0,1.0,1.0,1.0,1.0,26175.0,1,0.2062111801
311,netdata,netdata,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14622.0,1,1.3
313,cacalabs,libcaca,0.1428571429,1.0,1.0,1.0,1.0,1.0,1.0,1945.0,1,0.101934236
314,ucbrise,opaque,1.0,1.0,1.0,1.0,1.0,1.0,1.0,669.0,1,0.6333333333
315,unbit,uwsgi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6153.0,1,1.3
316,lurcher,unixODBC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,401.0,1,0.8
318,sshock,AFFLIBv3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,167.0,1,0.1010695187
319,libyal,libevt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,350.0,1,1.3
320,Yubico,yubico-pam,0.5,1.0,1.0,1.0,1.0,1.0,1.0,720.0,1,0.3769230769
322,snapcore,snapd,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,42853.0,1,0.6333333333
325,troglobit,ssdp-responder,0.1,1.0,1.0,1.0,1.0,1.0,1.0,371.0,1,1.3
327,z3APA3A,3proxy,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,498.0,1,1.3
328,LINBIT,csync2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,550.0,1,0.0009225092251
329,TurboVNC,turbovnc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3451.0,1,0.6333333333
330,fontforge,fontforge,0.0101010101,1.0,1.0,1.0,1.0,1.0,1.0,18007.0,1,1.3
332,OpenSC,pam_p11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160.0,1,0.6333333333
333,zcash,zcash,0.02857142857,1.0,1.0,1.0,1.0,1.0,1.0,13251.0,1,0.4
334,GNUAspell,aspell,0.25,1.0,1.0,1.0,1.0,1.0,1.0,185.0,1,0.3909090909
335,libidn,libidn2,0.1111111111,1.0,1.0,1.0,1.0,1.0,1.0,931.0,1,0.6333333333
336,alanxz,rabbitmq-c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,974.0,1,0.8
337,opencv,opencv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22762.0,1,0.3277777778
339,openSUSE,libsolv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3466.0,1,1.3
340,sctplab,usrsctp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2009.0,1,1.3
342,Duncaen,OpenDoas,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,264.0,1,0.2057803468
343,facebook,wangle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6685.0,1,1.3
344,Yubico,libu2f-host,0.5,1.0,1.0,1.0,1.0,1.0,1.0,207.0,1,0.3555555556
345,nghttp2,nghttp2,0.02127659574,1.0,1.0,1.0,1.0,1.0,1.0,6933.0,1,0.3212765957
347,openresty,lua-nginx-module,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3543.0,1,0.4428571429
350,ArtifexSoftware,jbig2dec,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,870.0,1,0.6333333333
351,AntonKueltz,fastecdsa,0.1111111111,1.0,1.0,1.0,1.0,1.0,1.0,315.0,1,0.6333333333
352,gssapi,gssproxy,0.5,1.0,1.0,1.0,1.0,1.0,1.0,739.0,1,1.3
353,pupnp,pupnp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1582.0,1,1.3
354,muttmua,mutt,0.5,1.0,1.0,1.0,1.0,1.0,1.0,11020.0,1,0.0008163265306
355,AXDOOMER,doom-vanille,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.0,1,0.6333333333
357,veyon,veyon,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,6418.0,1,1.3
358,ArtifexSoftware,ghostpdl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24066.0,1,1.3
359,CauldronDevelopmentLLC,cbang,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,1737.0,1,0.3153846154
360,flexpaper,pdf2json,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1,0.1017761989
361,pts,sam2p,0.1,1.0,1.0,1.0,1.0,1.0,1.0,287.0,1,1.3
362,plutinosoft,Platinum,0.09090909091,1.0,1.0,1.0,1.0,1.0,1.0,354.0,1,0.55
363,NLnetLabs,ldns,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,4472.0,1,0.2078125
364,trgil,gilcc,0.5,1.0,1.0,1.0,1.0,1.0,1.0,29.0,1,1.3
366,mltframework,shotcut,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6366.0,1,1.3
367,KDE,ark,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5379.0,1,0.1013736264
368,objsys,oocborrt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,1,1.3
371,vmg,redcarpet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,572.0,1,0.8
372,mymarilyn,clickhouse-driver,0.05555555556,1.0,1.0,1.0,1.0,1.0,1.0,521.0,1,0.6333333333
374,kmackay,micro-ecc,0.04166666667,1.0,1.0,1.0,1.0,1.0,1.0,195.0,1,0.5
375,tmux,tmux,0.1428571429,1.0,1.0,1.0,1.0,1.0,1.0,8627.0,1,0.4428571429
376,NeoRaider,fastd,0.1428571429,1.0,1.0,1.0,1.0,1.0,1.0,1213.0,1,0.5
377,LibVNC,x11vnc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,505.0,1,0.3227272727
378,Blosc,c-blosc2,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,3215.0,1,1.3
379,389ds,389-ds-base,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,6830.0,1,0.55
380,kovidgoyal,kitty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13856.0,1,0.2097087379
381,mkj,dropbear,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3680.0,1,1.3
383,ohler55,agoo,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,302.0,1,0.3144927536
384,mtrojnar,stunnel,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,215.0,1,1.3
385,stnoonan,spnego-http-auth-nginx-module,1.0,1.0,1.0,1.0,1.0,1.0,1.0,103.0,1,1.3
386,nanopb,nanopb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1429.0,1,0.204950495
389,canarymail,mailcore2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1532.0,1,0.8
390,libexif,exif,0.25,1.0,1.0,1.0,1.0,1.0,1.0,523.0,1,0.3588235294
392,mity,md4c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,669.0,1,0.425
393,sqlcipher,sqlcipher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,812.0,1,0.5
394,redis,hiredis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,915.0,1,0.3588235294
396,latchset,mod_auth_mellon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,434.0,1,0.3454545455
398,wez,atomicparsley,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,183.0,1,0.5
399,opencryptoki,opencryptoki,0.5,1.0,1.0,1.0,1.0,1.0,1.0,6780.0,1,0.5
400,owntone,owntone-server,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,6290.0,1,0.3714285714
402,babelouest,ulfius,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1310.0,1,0.4666666667
403,latchset,tang,0.1428571429,1.0,1.0,1.0,1.0,1.0,1.0,234.0,1,0.3625
404,cloudendpoints,esp,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1031.0,1,0.4
406,reddit,snudown,1.0,1.0,1.0,1.0,1.0,1.0,1.0,289.0,1,0.2028571429
407,wireapp,wire-avs,0.25,1.0,1.0,1.0,1.0,1.0,1.0,541.0,1,0.204950495
409,ArtifexSoftware,mupdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11361.0,1,1.3
412,LoicMarechal,libMeshb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325.0,1,1.3
413,ruven,iipsrv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,576.0,1,0.6333333333
415,haproxy,haproxy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23759.0,1,0.3909090909
417,tildearrow,furnace,0.5,1.0,1.0,1.0,1.0,1.0,1.0,8527.0,1,0.0
418,vgropp,bwm-ng,0.05882352941,1.0,1.0,1.0,1.0,1.0,1.0,163.0,1,0.0
419,libxmljs,libxmljs,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,627.0,1,0.0
420,Venemo,node-lmdb,0.125,1.0,1.0,1.0,1.0,1.0,1.0,332.0,1,0.0
421,TryGhost,node-sqlite3,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1213.0,1,0.0
422,liyansong2018,elfspirit,0.05882352941,1.0,1.0,1.0,1.0,1.0,1.0,144.0,1,0.0
423,stefanberger,swtpm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1681.0,1,0.0
426,drogonframework,drogon,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1616.0,1,0.0
427,sprinfall,webcc,0.2,1.0,1.0,1.0,1.0,1.0,1.0,399.0,1,0.0
428,ClusterLabs,booth,0.07142857143,1.0,1.0,1.0,1.0,1.0,1.0,1294.0,1,0.0
429,open62541,open62541,0.06666666667,1.0,1.0,1.0,1.0,1.0,1.0,10165.0,1,0.0
430,umlaeute,v4l2loopback,0.1666666667,1.0,1.0,1.0,1.0,1.0,1.0,898.0,1,0.0
431,swaywm,swaylock,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,303.0,1,0.0
432,containers,crun,0.1,1.0,1.0,1.0,1.0,1.0,1.0,2481.0,1,0.0
433,ckolivas,lrzip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,905.0,1,0.0
436,ambiot,amb1_sdk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.0,1,0.0
437,piastry,cifs-utils,1.0,1.0,1.0,1.0,1.0,1.0,1.0,584.0,1,0.0
438,litespeedtech,lsquic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,466.0,1,0.0
440,fwupd,fwupd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33526.0,1,0.0
441,fwdillema,totd,0.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1,0.0
443,landfillbaby,png2webp,0.09090909091,1.0,1.0,1.0,1.0,1.0,1.0,201.0,1,0.0
444,JonMagon,KDiskMark,1.0,1.0,1.0,1.0,1.0,1.0,1.0,393.0,1,0.0
