,owner,repo,avg_patch_token_count
1218,jenkinsci,crowd2-plugin,1300.0
2188,sindresorhus,trim-newlines,1299.0
864,firebase,firebase-js-sdk,1298.5
1466,jonschlinkert,set-value,1297.0
946,gohugoio,hugo,1297.0
166,PaddlePaddle,Paddle,1296.75
2114,run-llama,llama_index,1296.5
1788,netplex,json-smart-v1,1294.0
1224,jenkinsci,database-plugin,1290.0
362,apache,james-project,1290.0
2300,thenables,thenify,1289.0
2417,weaveworks,tf-controller,1288.5
423,apexcharts,apexcharts.js,1286.0
272,aio-libs,aiohttp-session,1282.0
775,eggjs,extend2,1281.0
1458,joniles,mpxj,1280.5
1375,jenkinsci,s3-plugin,1277.6666666666667
2297,terser,terser,1276.0
7,ARPSyndicate,puncia,1274.0
1362,jenkinsci,redgate-sql-ci-plugin,1274.0
300,ansible,ansible-modules-core,1273.6666666666667
950,golang,text,1273.0
2024,pydantic,pydantic,1272.0
469,aws,aws-sdk-js-v3,1271.0
2501,zopefoundation,Products.GenericSetup,1265.0
1593,lifion,lifion-verify-deps,1264.0
2041,python-pillow,Pillow,1262.4130434782608
1396,jenkinsci,stapler,1260.0
676,debug-js,debug,1260.0
990,grpc,grpc,1256.0
104,KaTeX,KaTeX,1255.25
2217,solana-labs,solana-pay,1252.0
2180,simpleledger,slp-validate.js,1251.0
1898,openstack,keystone,1250.3125
2043,python-poetry,poetry-core,1249.0
1151,jeecgboot,jeecg-boot,1248.5454545454545
412,apache,tomcat80,1243.2142857142858
276,ajv-validator,ajv,1241.0
1256,jenkinsci,ghprb-plugin,1241.0
2020,punkave,sanitize-html,1239.0
1119,j4k0xb,webcrack,1238.0
713,django-wiki,django-wiki,1234.5
2506,zopefoundation,Zope,1234.3
427,apostrophecms,apostrophe,1233.5
1515,jython,frozen-mirror,1232.0
197,Secreto31126,whatsapp-api-js,1232.0
2009,psf,black,1227.0
1955,pikepdf,pikepdf,1227.0
615,collective,collective.dms.basecontent,1226.0
73,GeoNode,geonode,1225.5
922,github,paste-markdown,1225.0
340,apache,drill,1222.0
2149,scottcwang,openssh_key_parser,1221.0
2257,stanfordnlp,CoreNLP,1220.0
1498,jupyter,nbdime,1220.0
239,Ylianst,MeshCentral,1219.5
1965,pires,go-proxyproto,1218.5
2420,web2py,web2py,1216.8
1099,ionicabizau,parse-url,1215.0
447,artf,grapesjs,1214.0
429,apphp,js-object-resolver,1213.0
2154,seccomp,libseccomp-golang,1208.0
1454,joestump,python-oauth2,1206.0
87,HtmlUnit,htmlunit-neko,1205.0
1778,naver,ngrinder,1205.0
2478,yargs,yargs-parser,1203.0
40,Cog-Creators,Red-DiscordBot,1202.0
308,ant-media,Ant-Media-Server,1199.0
371,apache,maven-archetype,1199.0
695,dgtlmoon,changedetection.io,1193.6666666666667
391,apache,servicecomb-service-center,1192.0
2368,unknwon,cae,1191.0
1336,jenkinsci,ontrack-plugin,1189.0
897,fusesource,hawtjni,1187.0
616,collective,collective.task,1184.0
523,broofa,node-uuid,1183.0
1776,nats-io,nkeys,1180.0
1192,jenkinsci,clif-performance-testing-plugin,1177.0
1273,jenkinsci,google-compute-engine-plugin,1173.5
2142,schnittstabil,merge-options,1173.0
2060,quic-go,quic-go,1172.0
2306,thinkst,opencanary,1172.0
2069,redisson,redisson,1172.0
870,flitbit,json-ptr,1170.5
1889,openstack,barbican,1170.0
1924,pallets,jinja,1170.0
1590,libxmljs,libxmljs,1168.0
1673,mbloch,mapshaper,1164.0
2127,salesforce,tough-cookie,1161.75
1032,helm,helm,1160.8333333333333
2195,smallrye,smallrye-config,1160.0
74,GeoWebCache,geowebcache,1158.0
312,antonk52,lilconfig,1158.0
1947,pf4j,pf4j,1156.0
1121,jaegertracing,jaeger,1156.0
1045,honojs,hono,1153.5
1387,jenkinsci,skytap-cloud-plugin,1152.0
2108,rs,node-netmask,1152.0
1262,jenkinsci,gitea-plugin,1146.0
1918,osrg,gobgp,1139.0
58,Ericsson,codechecker,1138.5
204,SonarSource,sonarqube,1138.0
6,AGProjects,python-cjson,1137.0
1674,mcollina,msgpack5,1137.0
189,SAP,cloud-pysec,1137.0
567,chimurai,http-proxy-middleware,1136.0
604,codehaus-plexus,plexus-archiver,1135.5
747,dzikoysk,reposilite,1134.25
1470,josdejong,mathjs,1133.6666666666667
1781,neo4j,apoc,1132.0
1351,jenkinsci,plot-plugin,1131.5
738,dscho,hg,1131.5
1183,jenkinsci,bitbucket-oauth-plugin,1129.0
2185,sindresorhus,is-svg,1127.0
2048,pytorch,serve,1127.0
933,go-vela,compiler,1126.0
792,endojs,endo,1125.0
1935,patriksimek,vm2,1123.4
1297,jenkinsci,jx-resources-plugin,1120.0
304,ansible-semaphore,semaphore,1118.0
32,Blazemeter,blazemeter-jenkins-plugin,1117.0
2388,vert-x3,vertx-web,1114.0
1073,ibmdb,node-ibm_db,1111.0
845,fastify,fastify-reply-from,1110.5
1655,mathjax,MathJax,1107.0
785,element-plus,element-plus,1105.0
115,Legrandin,pycrypto,1105.0
37,C2FO,fast-csv,1104.0
2097,robo-code,robocode,1101.3333333333333
1158,jenkinsci,analysis-core-plugin,1101.0
2221,sonnyp,JSON8,1100.0
1499,jupyter,notebook,1098.6666666666667
2133,sandy98,node-simple-router,1097.0
1122,jamesagnew,hapi-fhir,1097.0
1583,lektor,lektor,1096.0
1474,jpeg-js,jpeg-js,1096.0
1676,medialize,URI.js,1094.0
2279,sveltejs,svelte,1094.0
2192,skoranga,node-dns-sync,1092.5
1903,openstack,murano,1092.0
11,Adobe-Consulting-Services,acs-aem-commons,1092.0
974,gphper,ginadmin,1081.0
614,collective,collective.contact.widget,1079.0
1301,jenkinsci,klaros-testmanagement-plugin,1079.0
1092,intranda,goobi-viewer-core,1078.3333333333333
245,aaugustin,websockets,1078.0
54,Devan-Kerman,ARRP,1073.0
1463,jonschlinkert,mixin-deep,1070.5
2371,urql-graphql,urql,1069.0
539,bytecodealliance,wasmtime,1068.75
1259,jenkinsci,git-parameter-plugin,1068.0
2385,vercel,next.js,1066.6666666666667
1052,horazont,xmpp-http-upload,1066.0
1652,mastercactapus,proxyprotocol,1064.0
404,apache,submarine,1063.3333333333333
1508,jupyterhub,kubespawner,1063.0
82,Guake,guake,1061.0
682,delgan,loguru,1060.0
396,apache,sling-org-apache-sling-jcr-base,1059.5
66,FireBlinkLTD,object-collider,1059.0
1204,jenkinsci,compuware-topaz-for-total-test-plugin,1057.3333333333333
512,bottlepy,bottle,1057.0
717,docker,docker,1056.25
1971,planetlabs,planet-client-python,1056.0
1962,pion,webrtc,1056.0
533,builderio,qwik,1056.0
2208,snyk,snyk-php-plugin,1055.0
796,erelsgl,limdu,1055.0
1714,mjpclab,object-hierarchy-access,1055.0
293,andrepolischuk,servst,1052.0
2444,withastro,astro,1051.0
1386,jenkinsci,sidebar-link-plugin,1049.0
645,cri-o,cri-o,1043.5
1627,lukeed,tempura,1042.0
2406,vuetifyjs,vuetify,1041.0
1185,jenkinsci,build-environment-plugin,1040.0
548,casework,CASE-Utilities-Python,1039.4
1303,jenkinsci,kubernetes-plugin,1039.2
2088,richardbarran,django-photologue,1038.0
1082,immerjs,immer,1037.5
1249,jenkinsci,flaky-test-handler-plugin,1037.0
165,OpenZeppelin,openzeppelin-contracts,1034.8
2397,vitejs,vite,1034.25
1925,pallets,quart,1034.0
1326,jenkinsci,naginator-plugin,1032.0
1106,ipld,go-codec-dagpb,1031.0
2228,spring-cloud,spring-cloud-function,1029.0
1871,opencrx,opencrx,1028.5
2004,prometheus,exporter-toolkit,1028.0
67,FlowiseAI,Flowise,1026.5
351,apache,httpcomponents-client,1026.3333333333333
2379,vcs-python,vcspull,1025.0
1478,jquery,jquery,1019.5
1594,lift,framework,1017.0
183,RDFLib,pyrdfa3,1016.0
16,AntSwordProject,antSword,1015.0
709,django-cms,django-cms,1013.0
2376,valyala,fasthttp,1012.5
2348,twbs,bootstrap,1012.0
1241,jenkinsci,emailext-template-plugin,1011.0
1068,hwameistor,hwameistor,1011.0
2467,xwiki-contrib,application-admintools,1010.5
367,apache,libcloud,1009.6666666666666
1488,json5,json5,1003.0
2505,zopefoundation,ZODB,1003.0
1692,micromatch,braces,1001.0
2305,thi-ng,umbrella,999.5
517,briancappello,flask-unchained,998.0
1030,hashicorp,vault-ssh-helper,998.0
400,apache,spark,997.0
1090,infinispan,protostream,996.0
1152,jelmer,dulwich,995.0
855,feathersjs,feathers,993.0
1821,notaryproject,notation-go,993.0
2290,tadashi-aikawa,owlmixin,991.0
1518,karma-runner,karma,989.0
538,bwoodsend,rockhopper,988.0
2271,streamlit,streamlit,986.5
366,apache,karaf,985.6666666666666
42,CroatiaControlLtd,asterix,985.0
577,classgraph,classgraph,981.0
1985,pofider,phantom-html-to-pdf,981.0
1148,jcubic,jquery.terminal,978.0
1180,jenkinsci,batch-task-plugin,977.0
2334,totaljs,framework4,975.5
2007,protocolbuffers,protobuf-go,975.0
1818,nolimits4web,Swiper,970.0
544,capricorn86,happy-dom,966.5
2216,soketi,soketi,966.0
1569,labd,wagtail-2fa,964.6666666666666
573,cjvnjde,google-translate-api-browser,964.0
2245,sqreen,PyMiniRacer,964.0
740,dutchcoders,transfer.sh,960.0
1284,jenkinsci,implied-labels-plugin,952.0
207,Stranger6667,pyanyapi,952.0
770,edge-js,edge,951.0
985,graphql,graphql-js,951.0
273,aio-libs,aiosmtpd,951.0
1892,openstack,glance,948.5454545454545
1127,jaraco,keyring,947.6
112,KubeOperator,KubePi,947.0
122,ManyDesigns,Portofino,945.5
425,apollographql,apollo-client-nextjs,945.0
2262,stellar,js-stellar-sdk,943.0
2249,square,squalor,943.0
2242,sqlalchemy,mako,941.0
1222,jenkinsci,cvs-plugin,939.6666666666666
1021,hashicorp,consul-template,939.0
1782,neo4j,neo4j,938.0
1795,ng-packagr,ng-packagr,933.0
924,gitpython-developers,GitPython,932.0
2308,thlorenz,parse-link-header,932.0
1950,phoenixframework,phoenix_html,932.0
1815,nodef,heroku-addonpool,929.0
1785,nervjs,taro,927.0
789,encode,httpx,926.0
18,ApollosProject,apollos-apps,925.0
549,cbeust,testng,922.0
2177,simonsmith,cypress-image-snapshot,919.0
464,aws,amazon-redshift-jdbc-driver,917.6
2499,zopefoundation,AccessControl,913.0
596,cloudreve,Cloudreve,908.0
326,apache,calcite-avatica,908.0
1726,moinwiki,moin,905.0
1994,privacyidea,privacyidea,904.0
1558,kubernetes,client-go,903.5
1895,openstack,horizon,903.2857142857143
850,fastify,session,902.0
1348,jenkinsci,pipeline-stage-view-plugin,900.0
211,TanStack,query,900.0
2059,quay,claircore,899.0
109,Kozea,Radicale,897.1666666666666
2392,videojs,video.js,897.0
639,cosmos,ethermint,896.0
978,grafana,grafana,895.2
1012,hapijs,cryptiles,895.0
1189,jenkinsci,cas-plugin,895.0
1353,jenkinsci,promoted-builds-plugin,894.5
757,eclipse,milo,894.0
2298,tg123,sshpiper,891.5
672,dbartholomae,lambda-middleware,891.0
680,deis,workflow-manager,888.0
515,braintree,sanitize-url,888.0
1953,picketlink,picketlink,885.0
1154,jenkinsci,accurev-plugin,884.0
1745,mozilla,node-convict,883.6666666666666
2157,selfcontained,deap,883.0
134,NVIDIA,NVFlare,882.5
1630,lxml,lxml,880.4545454545455
1097,ioBroker,ioBroker.js-controller,880.0
698,diegohaz,querymen,880.0
502,blackducksoftware,hub-rest-api-python,880.0
90,IceWhaleTech,CasaOS-Gateway,877.0
1276,jenkinsci,google-play-android-publisher-plugin,877.0
1247,jenkinsci,favorite-plugin,876.0
107,Kludex,python-multipart,876.0
1773,nats-io,jwt,874.0
316,apache,activemq-apollo,873.0
2280,sviehb,jefferson,871.0
1269,jenkinsci,gitlab-plugin,870.0
621,containerd,containerd,866.0
1074,ierror,django-js-reverse,865.5
1678,medikoo,es5-ext,865.5
95,IonicaBizau,node-gry,861.0
1657,matrix-org,gomatrixserverlib,859.0
475,axios,axios,859.0
1305,jenkinsci,libvirt-slave-plugin,858.6666666666666
1986,poljar,matrix-nio,858.0
251,acstll,deep-get-set,857.0
1689,mickhansen,dottie.js,857.0
743,dw,mitogen,856.0
1963,pippo-java,pippo,853.6666666666666
867,flask-admin,flask-admin,851.0
881,folio-org,spring-module-core,850.0
564,charmbracelet,soft-serve,849.0
788,encode,django-rest-framework,844.0
980,grafana,synthetic-monitoring-agent,844.0
127,MirahezeBots,sopel-channelmgnt,842.0
395,apache,sling-org-apache-sling-auth-core,841.0
579,clastix,capsule-proxy,840.0
625,containers,image,839.0
1737,moscajs,aedes,838.0
1083,in-toto,in-toto,837.0
1894,openstack,heat,834.0
1043,hokaccha,node-jwt-simple,833.0
2395,visionmedia,send,829.0
953,google,closure-library,827.0
85,HenrikJoreteg,html-parse-stringify,824.0
419,apache,xmlgraphics-commons,823.0
282,algolia,algoliasearch-helper-js,823.0
2144,schollz,croc,822.0
2187,sindresorhus,semver-regex,821.5
799,eslint,rewrite,821.0
949,golang,net,821.0
1049,hoppscotch,proxyscotch,820.0
654,cubefs,cubefs,820.0
673,dbt-labs,dbt-core,819.0
2247,square,okio,818.0
2211,socketio,socket.io,818.0
433,apptainer,apptainer,813.0
137,Netflix,consoleme,811.5
888,free5gc,amf,811.0
5,9001,copyparty,811.0
1174,jenkinsci,azure-ad-plugin,810.0
1628,lunary-ai,lunary,808.1666666666666
1607,ljharb,qs,807.3
1141,jaw187,node-traceroute,807.0
2124,sajari,docconv,806.5
418,apache,xmlgraphics-batik,806.3
181,Qwerios,madlib-object-utils,805.0
2408,vvo,node-whereis,804.0
991,grpc,grpc-node,803.0
1014,hapijs,hapi,800.5
800,esphome,esphome,800.4
1549,koorchik,node-mystem3,798.0
1996,projectatomic,libpod,797.0
61,FasterXML,jackson-databind,796.421052631579
2049,pytorchlightning,pytorch-lightning,795.5
102,JoeScho,get-ip-range,793.0
2201,snowflakedb,gosnowflake,793.0
1623,lukashinsch,spring-boot-actuator-logview,792.5
1624,lukeed,dset,792.5
2284,sybrenstuvel,python-rsa,791.5
1680,mellium,xmpp,790.0
2430,websockets,ws,787.3333333333334
580,clastix,kamaji,787.0
620,commenthol,versionn,787.0
1833,npm,ssri,785.0
1751,mqttjs,MQTT.js,783.0
1017,happyworm,jPlayer,783.0
27,Backblaze,B2_Command_Line_Tool,782.0
1951,piccolo-orm,piccolo,780.5
259,adi928,ipycache,776.0
815,executablebooks,markdown-it-py,776.0
1449,jmrozanec,cron-utils,774.6666666666666
2399,vllm-project,vllm,774.0
1016,hapijs,nes,774.0
1739,mout,mout,773.5
694,dgilland,pydash,773.0
994,guardrails-ai,guardrails,773.0
1413,jenkinsci,validating-string-parameter-plugin,772.0
1554,kroxylicious,kroxylicious,772.0
503,blakeblackshear,frigate,771.0
2302,theupdateframework,python-tuf,771.0
2137,satori,go.uuid,769.0
1137,jasonraimondi,url-to-png,768.6666666666666
1335,jenkinsci,oic-auth-plugin,768.0
1711,mitsuhiko,jinja2,767.0
1251,jenkinsci,fortify-on-demand-uploader-plugin,765.6
1746,mozilla,nunjucks,765.0
970,gorilla,handlers,764.0
285,alkacon,opencms-core,762.0
1202,jenkinsci,compuware-scm-downloader-plugin,761.5
2003,projen,projen,761.0
1717,mkdocs,mkdocs,759.5
1828,npm,ini,759.0
835,faisalman,ua-parser-js,758.25
296,angus-c,just,758.0
216,Tjatse,ansi-html,755.0
1274,jenkinsci,google-login-plugin,753.5
856,feathersjs-ecosystem,feathers-sequelize,753.0
871,flitto,express-param,752.0
2156,sehmaschine,django-grappelli,751.0
386,apache,ranger,749.0
35,BuilderIO,qwik,748.0
1131,jaredhanson,passport-oauth2,748.0
1245,jenkinsci,external-monitor-job-plugin,746.0
2011,psi-4ward,psitransfer,745.5
783,electron-userland,electron-builder,745.0
1919,osuosl,twisted_vncauthproxy,745.0
2424,webmproject,libvpx,745.0
1768,nanobox-io,golang-nanoauth,744.0
170,PowerJob,PowerJob,744.0
185,ReFirmLabs,binwalk,743.0
1246,jenkinsci,extra-columns-plugin,742.0
756,eclipse,lyo,741.0
1487,json-path,JsonPath,740.0
497,bertramdev,asset-pipeline,740.0
973,gouniverse,cms,738.0
1166,jenkinsci,autonomiq-plugin,737.0
361,apache,james-mime4j,735.6666666666666
1615,lodash,lodash,735.5
2182,sindresorhus,dot-prop,735.0
583,clientIO,joint,734.0
212,Tencent,vConsole,733.0
1482,jrspruitt,ubi_reader,733.0
347,apache,groovy,732.0
1643,maptiler,tileserver-gl,731.0
1024,hashicorp,go-slug,729.0
764,eclipse-ee4j,mojarra,727.75
2083,revel,revel,727.0
773,eflexsystems,node-samba-client,727.0
2434,wger-project,wger,726.0
1675,mde,ejs,725.6666666666666
209,Styria-Digital,django-rest-framework-jwt,725.0
1426,jenkinsci,workflow-remote-loader-plugin,724.0
2476,yangzongzhuan,RuoYi,724.0
992,gruntjs,grunt,720.75
1645,marcbachmann,node-html-pdf,718.0
753,eclipse,hawkbit,716.0
488,beego,beego,714.0
1471,josdejong,typed-function,713.0
1479,jquery,jquery-ui,711.8
2224,soyuka,pidusage,710.0
389,apache,seatunnel-web,710.0
1464,jonschlinkert,randomatic,709.0
574,ckan,ckan,709.0
2390,vgno,koa-remove-trailing-slashes,709.0
847,fastify,fastify-static,708.0
145,Nozbe,WatermelonDB,707.0
33,Blosc,c-blosc2,702.0
1381,jenkinsci,scriptler-plugin,701.3333333333334
1519,kataras,iris,701.0
1000,gventuri,pandas-ai,700.0
12,AhmedAdelFahim,express-xss-sanitizer,696.0
2311,tidwall,gjson,694.8
540,caddyserver,caddy,694.0
1039,hivesolutions,netius,690.0
1653,mat-sz,lettersanitizer,686.0
650,cryptocoinjs,secp256k1-node,685.0
2394,vinitkumar,json2xml,684.0
988,gravitl,netmaker,682.4
528,brycebaril,node-flatnest,680.0
2502,zopefoundation,Products.PluggableAuthService,677.5
2238,spring-projects,spring-security-samples,674.0
2355,typelevel,fs2,672.5
291,andialbrecht,sqlparse,671.0
802,etcd-io,etcd,669.25
1295,jenkinsci,job-import-plugin,667.0
353,apache,incubator-dolphinscheduler,667.0
205,Soontao,cycle-import-check,665.0
1957,pillarjs,resolve-path,665.0
1350,jenkinsci,plain-credentials-plugin,664.0
186,RebeccaStevens,deepmerge-ts,662.5
1445,jhuckaby,pixl-class,662.0
561,chaosblade-io,chaosblade,661.0
1213,jenkinsci,copr-plugin,661.0
135,NYUCCL,psiTurk,660.0
1104,ipfs,go-unixfs,659.0
473,aws-amplify,aws-sdk-android,659.0
1385,jenkinsci,shelve-project-plugin,659.0
1536,kiwitcms,Kiwi,657.0
1312,jenkinsci,mac-plugin,656.0
1775,nats-io,nats.ws,653.0
1177,jenkinsci,azure-vm-agents-plugin,653.0
1836,ntbosscher,gobase,651.0
407,apache,tapestry-5,651.0
1527,keylime,keylime,650.0
1654,materialsproject,pymatgen,648.0
2092,rnmods,react-native-document-picker,648.0
1313,jenkinsci,mailer-plugin,646.0
1668,matthiask,html-sanitizer,646.0
459,auth0,passport-wsfed-saml2,643.0
1085,indico,flask-multipass,642.0
415,apache,wicket,641.0
280,alex,rply,640.5
1455,joewalnes,smoothie,639.0
2119,rvagg,bl,639.0
2155,segmentio,is-url,638.0
301,ansible,ansible-modules-extras,636.0
2461,xnio,xnio,636.0
267,aheckmann,mpath,634.0
1168,jenkinsci,aws-codedeploy-plugin,632.0
1344,jenkinsci,pipeline-aggregator-view-plugin,631.0
1540,knative,serving,631.0
1823,nothub,mrpack-install,630.0
431,apple,ccs-pykerberos,629.0
2039,python-mechanize,mechanize,628.0
1547,koji-project,koji,628.0
303,ansible-collections,community.general,626.0
1516,kaizhu256,node-phantomjs-lite,625.0
439,ardatan,graphql-tools,625.0
1600,linkedin,oncall,624.0
1383,jenkinsci,semantic-versioning-plugin,623.5
201,SimbCo,httpster,623.0
281,alexcrichton,openssl-src-rs,622.0
954,google,exposure-notifications-verification-server,619.0
1843,oakserver,oak,617.0
138,Netflix,genie,616.0
1910,openstack,storlets,616.0
685,destinygg,chat,616.0
1309,jenkinsci,lucene-search-plugin,615.75
1054,horovod,horovod,615.0
1868,opencontainers,distribution-spec,615.0
123,Marak,colors.js,614.0
1649,markdown-it,markdown-it,612.5
1922,pahen,madge,610.0
2213,socketio,socket.io-parser,609.0
1379,jenkinsci,scm-filter-jervis-plugin,607.0
524,browserify,browserify-sign,605.0
471,aws,sagemaker-python-sdk,604.5
1557,kubernetes,apiextensions-apiserver,604.0
1620,lovell,sharp,603.0
993,gturri,aXMLRPC,602.0
610,coder,coder,602.0
1304,jenkinsci,ldap-plugin,601.0
2507,zowe,zowe-cli,601.0
1430,jenkinsci,xunit-plugin,600.0
2445,wocommunity,wonder,600.0
25,Azure,ms-rest-nodeauth,600.0
110,Kozea,WeasyPrint,599.0
1709,mitmproxy,pdoc,598.0
1283,jenkinsci,icescrum-plugin,598.0
1069,hybridgroup,gobot,597.0
1980,plotly,plotly.js,596.5
1428,jenkinsci,xcode-plugin,596.0
2259,starkbank,ecdsa-python,593.0
1806,node-fetch,node-fetch,592.6666666666666
808,evangelion1204,multi-ini,591.0
2347,turt2live,matrix-media-repo,590.5
2318,tm-kn,django-basic-auth-ip-whitelist,590.0
1270,jenkinsci,global-build-stats-plugin,590.0
587,cloudflare,cfrpki,589.1428571428571
603,codecov,codecov-python,587.0
2484,yhatt,jsx-slack,586.5
1681,melnaron,mel-spintax,586.0
1978,plone,plone.rest,585.0
1035,hhurz,tableexport.jquery.plugin,585.0
997,gulpjs,glob-parent,584.3333333333334
2450,workos,authkit-remix,584.0
1244,jenkinsci,extended-choice-parameter-plugin,583.0
466,aws,aws-iot-device-sdk-java-v2,583.0
1685,metarhia,metacalc,583.0
1111,isaacs,chownr,582.0
2018,puiterwijk,flask-oidc,581.0
501,bits-and-blooms,bloom,579.0
1596,lima-vm,lima,578.0
848,fastify,fastify-swagger-ui,577.0
1591,lief-project,LIEF,576.6666666666666
1880,openshift,apiserver-library-go,575.5
1682,membrane,soa-model,575.0
1936,paulc,dnslib,574.0
1735,monitorjbl,excel-streaming-reader,573.0
556,ceph,ceph-deploy,573.0
1575,latchset,jwcrypto,573.0
2350,twisted,treq,571.0
268,aheckmann,mquery,571.0
862,fgribreau,node-request-retry,569.0
269,ai,nanoid,569.0
1110,irrdnet,irrd,569.0
2051,pyupio,dparse,568.5
1489,jsonata-js,jsonata,568.0
1927,panates,putil-merge,568.0
1143,jazzband,django-user-sessions,568.0
1952,piccolo-orm,piccolo_admin,567.0
666,dask,distributed,567.0
428,apostrophecms,sanitize-html,566.25
416,apache,ws-wss4j,566.0
1822,notaryproject,specifications,562.0
852,faye,websocket-extensions-node,562.0
1170,jenkinsci,aws-credentials-plugin,560.5
2479,yarkeev,git-interface,560.0
142,NodeBB,NodeBB,559.7777777777778
678,deeplook,svglib,556.0
1690,microcks,microcks,554.5
1644,mar10,wsgidav,554.0
2094,robinbuschmann,sequelize-typescript,553.0
2158,semantic-release,semantic-release,553.0
324,apache,axis-axis1-java,552.5
724,dominictarr,libnested,552.0
2111,rudderlabs,rudder-server,551.6666666666666
1584,lenovo,Antilles,547.0
1958,pillarjs,send,547.0
307,ansys,pyansys-geometry,547.0
496,berriai,litellm,546.0
2412,wal-g,wal-g,546.0
218,TooTallNate,node-degenerator,545.5
563,charmbracelet,charm,545.0
1750,mportuga,eslint-detailed-reporter,544.0
1730,moment,moment,544.0
2439,wildfly,jboss-ejb-client,543.0
635,coreos,etcd,542.0
791,encode,uvicorn,542.0
388,apache,santuario-java,541.0
1974,plone,Products.ATContentTypes,540.0
311,anthraxx,diffoscope,540.0
1964,piranna,linux-cmdline,538.0
697,diegohaz,bodymen,537.0
2095,robinvdvleuten,shvl,536.0
2364,ulikunitz,xz,533.0
178,PythonCharmers,python-future,533.0
381,apache,poi,533.0
1946,petl-developers,petl,530.0
2269,strapi-community,strapi-plugin-protected-populate,530.0
1033,herber,hekto,528.0
1194,jenkinsci,cloudbees-jenkins-advisor-plugin,528.0
217,TogaTech,tEnvoy,527.0
734,dromara,sureness,527.0
690,devsnd,cherrymusic,526.0
1626,lukeed,nestie,525.0
892,frostming,rediswrapper,524.0
1316,jenkinsci,mask-passwords-plugin,523.0
912,getsentry,sentry-python,523.0
491,benbusby,whoogle-search,522.0
199,SiCKRAGE,SiCKRAGE,521.0
2345,tryton,trytond,519.625
1429,jenkinsci,xldeploy-plugin,517.5
1704,minio,console,517.0
